iso3,regimen,modelo,mae_rel,dm_p,gana_sig
PAN,calma,Random Forest,1.1223352674877074,0.46046869613809577,False
PAN,calma,Comb. RF/AR(1) suave,1.161523323815298,0.35703445191909744,False
PAN,calma,Comb. RF/AR(1) dura,1.1861970520896585,0.2871966869816258,False
PAN,calma,Ridge sobre rezagos,1.202269093850725,0.2425212472651838,False
PAN,calma,Comb. RF/ingenuo suave,1.2227982973647078,0.18361277182531882,False
PAN,ruptura,Random Forest,0.6416688171243448,,False
PAN,ruptura,LSTM(16),0.7500056612726972,,False
PAN,ruptura,Comb. RF/AR(1) suave,0.7897764106193569,,False
PAN,ruptura,Comb. RF/AR(1) dura,0.8018107410308369,,False
PAN,ruptura,Comb. RF/AR(1) umbral min,0.8018107410308369,,False
PAN,ruptura,Comb. LSTM/AR(1) suave,0.814096700311153,,False
PAN,ruptura,AR(1),0.8234590136209623,,False
PAN,ruptura,"ARIMA(1,1,1)",0.8242421693135993,,False
PAN,ruptura,Ridge sobre rezagos,0.8389582400183543,,False
PAN,ruptura,"ARMA(2,2)",0.843503757442596,,False
PAN,ruptura,Comb. RF/ingenuo suave,0.9720045881603803,,False
PAN,ruptura,Ingenuo,1.0,,False
PAN,ruptura,Deriva,1.0063819061152133,,False
PER,calma,AR(1),0.762595822364656,0.044237792826930536,True
PER,calma,"ARIMA(1,1,1)",0.7805364536843917,0.05624802991747959,False
PER,calma,Comb. RF/AR(1) umbral min,0.7959593560788347,0.19779070525238276,False
PER,calma,LSTM(16),0.9314970901449244,0.8491524529653973,False
PER,calma,Ingenuo,1.0,,False
PER,calma,Deriva,1.0159704221307535,0.019233628748239848,False
PER,calma,Comb. RF/AR(1) dura,1.0525030747595145,0.771732223716442,False
PER,calma,Comb. RF/AR(1) suave,1.0563939225942716,0.7661283094266713,False
PER,calma,Random Forest,1.0881140446592101,0.659911210355414,False
PER,calma,Comb. RF/ingenuo suave,1.1379615605844557,0.41203284539239793,False
PER,calma,"ARMA(2,2)",1.1546077049894716,0.2961817900263836,False
PER,calma,Ridge sobre rezagos,1.449268946783783,0.04530510079940385,False
PER,ruptura,Comb. LSTM/AR(1) suave,0.6698304667354357,,False
PER,ruptura,LSTM(16),0.6720367728920635,,False
PER,ruptura,Random Forest,0.7384779992604636,,False
PER,ruptura,"ARMA(2,2)",0.7773089530748469,,False
PER,ruptura,Comb. RF/AR(1) suave,0.7886692138915071,,False
PER,ruptura,Comb. RF/AR(1) dura,0.7886692138915071,,False
PER,ruptura,Comb. RF/ingenuo suave,0.7886692138915071,,False
PER,ruptura,AR(1),0.8096329553332114,,False
PER,ruptura,"ARIMA(1,1,1)",0.8121808286817955,,False
PER,ruptura,Ridge sobre rezagos,0.8285233412787147,,False
PER,ruptura,Comb. RF/AR(1) umbral min,0.8514170549008172,,False
PER,ruptura,Ingenuo,1.0,,False
PER,ruptura,Deriva,1.0059107635540152,,False
PRY,calma,Comb. RF/AR(1) umbral min,0.8783493174996878,0.09538513901773517,False
PRY,calma,AR(1),0.8851425517720541,0.1067348763670043,False
PRY,calma,LSTM(16),0.9219583853474594,0.4577421014057332,False
PRY,calma,Random Forest,0.9277108233684652,0.46470429850024875,False
